company_id,year,account_code,account_label,amount,source,nature,defaut
1,2021,701,Ventes de produits finis,486512,CPC,produit,non
1,2021,706,Prestations de services,208505,CPC,produit,non
1,2021,601,Achats de marchandises,195074,CPC,charge,non
1,2021,602,Achats de matières premières,97537,CPC,charge,non
1,2021,641,Rémunérations du personnel,121921,CPC,charge,non
1,2021,645,Charges sociales,73153,CPC,charge,non
1,2021,213,Constructions,235453,BILAN,actif,non
1,2021,223,Matériel informatique,58863,BILAN,actif,non
1,2021,411,Clients,125103,BILAN,actif,non
1,2021,511,Banque,29431,BILAN,actif,non
1,2021,101,Capital social,176590,BILAN,passif,non
1,2021,401,Fournisseurs,146306,BILAN,passif,non
1,2021,421,Personnel,48768,BILAN,passif,non
1,2021,7011,Encaissements clients,605011,FLUX_TRESORERIE,encaissement,non
1,2021,6011,Décaissements fournisseurs,299108,FLUX_TRESORERIE,decaissement_exploitation,non
1,2021,6411,Décaissements personnel,116378,FLUX_TRESORERIE,decaissement_exploitation,non
1,2021,6511,Décaissements impôts,3174,FLUX_TRESORERIE,decaissement_exploitation,non
1,2021,2111,Acquisitions immobilisations,34946,FLUX_TRESORERIE,investissement,non
1,2021,1011,Apports en capital,0,FLUX_TRESORERIE,financement,non
1,2022,701,Ventes de produits finis,843389,CPC,produit,non
1,2022,706,Prestations de services,361452,CPC,produit,non
1,2022,601,Achats de marchandises,342047,CPC,charge,non
1,2022,602,Achats de matières premières,171023,CPC,charge,non
1,2022,641,Rémunérations du personnel,213779,CPC,charge,non
1,2022,645,Charges sociales,128267,CPC,charge,non
1,2022,213,Constructions,458665,BILAN,actif,non
1,2022,223,Matériel informatique,114666,BILAN,actif,non
1,2022,411,Clients,216871,BILAN,actif,non
1,2022,511,Banque,57333,BILAN,actif,non
1,2022,101,Capital social,343998,BILAN,passif,non
1,2022,401,Fournisseurs,256535,BILAN,passif,non
1,2022,421,Personnel,85511,BILAN,passif,non
1,2022,7011,Encaissements clients,1091151,FLUX_TRESORERIE,encaissement,non
1,2022,6011,Décaissements fournisseurs,544260,FLUX_TRESORERIE,decaissement_exploitation,non
1,2022,6411,Décaissements personnel,208623,FLUX_TRESORERIE,decaissement_exploitation,non
1,2022,6511,Décaissements impôts,1657,FLUX_TRESORERIE,decaissement_exploitation,non
1,2022,2111,Acquisitions immobilisations,89195,FLUX_TRESORERIE,investissement,non
1,2022,1011,Apports en capital,0,FLUX_TRESORERIE,financement,non
1,2022,4561,Dividendes versés,1059,FLUX_TRESORERIE,remboursement,non
1,2023,701,Ventes de produits finis,1556457,CPC,produit,non
1,2023,706,Prestations de services,667053,CPC,produit,non
